s,r,Reputation,Prediction,fdk_val,Response,value,trial,fdk_val_1b
sub-1144,3,Mean80,0,0,2,3,91,1
sub-1144,3,Nice60,NA,0,2,4,92,2
sub-1144,3,Mean60,NA,0,2,4,93,2
sub-1144,3,Nice80,1,1,3,1,94,2
sub-1144,3,Mean80,1,0,2,3,95,1
sub-1144,3,Nice60,1,1,3,4,96,1
sub-1144,4,Mean60,NA,1,3,2,97,1
sub-1144,4,Nice80,1,1,4,3,98,2
sub-1144,4,Mean80,0,0,1,1,99,1
sub-1144,4,Nice60,NA,1,3,3,100,2
sub-1144,4,Mean60,1,0,2,2,101,2
sub-1144,4,Nice80,1,1,3,3,102,2
sub-1144,4,Mean80,1,0,NA,1,103,1
sub-1144,4,Nice60,1,0,1,3,104,2
sub-1144,4,Mean60,0,1,3,2,105,1
sub-1144,4,Nice80,1,1,3,3,106,2
sub-1144,4,Mean80,1,1,4,1,107,1
sub-1144,4,Nice60,1,1,3,3,108,1
sub-1144,4,Mean60,1,0,2,2,109,2
sub-1144,4,Nice80,1,0,1,3,110,2
sub-1144,4,Mean80,NA,0,2,1,111,2
sub-1144,4,Nice60,1,1,4,3,112,2
sub-1144,4,Mean60,NA,0,2,2,113,1
sub-1144,4,Nice80,0,1,3,3,114,1
sub-1144,4,Mean80,0,0,1,1,115,1
sub-1144,4,Nice60,1,0,3,3,116,2
sub-1144,4,Mean60,NA,1,3,2,117,1
sub-1144,4,Nice80,NA,1,4,3,118,2
sub-1144,4,Mean80,1,0,1,1,119,1
sub-1144,4,Nice60,1,1,4,3,120,1
sub-1144,4,Mean60,NA,1,3,2,121,2
sub-1144,4,Nice80,1,1,3,3,122,2
sub-1144,4,Mean80,1,1,3,1,123,1
sub-1144,4,Nice60,NA,0,1,3,124,2
sub-1144,4,Mean60,1,0,1,2,125,2
sub-1144,4,Nice80,1,0,2,3,126,2
sub-1144,4,Mean80,NA,0,2,1,127,2
sub-1144,4,Nice60,1,1,3,3,128,1
sub-1158,1,Mean60,1,0,2,2,1,1
sub-1158,1,Nice80,1,1,4,3,2,1
